config_id,family,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std
ucdpa_nocal,Digital,73.5891,6.456316808081509,2.7644414885571233,1.1407261760810001,0.615449399344774,0.1626575239747839
ucdpa_nocb,Digital,73.45779999999999,6.789300154616357,2.8240389634894676,1.2972867536122643,0.6051239316228282,0.16167035822734285
ucdpa_noucb,Digital,73.4333,6.682718207593768,3.1660467854272807,1.6559708841584182,0.6006486701238418,0.09417183301468977
source,Noise,56.2852,12.714053685267512,2.961919247334078,0.7368777901486255,1.1140041607660893,0.2657638769670482
tent,Noise,63.88206666666667,8.407869824071437,5.811413303781364,1.2492136852217177,0.508934932044595,0.1545641746812265
eata,Noise,63.530633333333334,8.30124022991759,5.651711559176786,0.7754229742533888,0.5221358900109663,0.1747813583444852
sar,Noise,62.5145,8.667530750166666,5.727906767559657,0.6458088337683908,0.5354877836708211,0.18766587321342934
come,Noise,65.9999,9.048295087464298,6.339462433409636,1.903303091227697,1.3367198400693492,0.148758734194231
tentcome,Noise,64.07986666666666,8.46642089843037,5.61329716571082,1.2896076852653051,0.5167050736474206,0.15415296271429224
ucdpa,Noise,68.46196666666667,8.10487429396064,3.436896806710136,0.9033652553507545,0.6985836092733083,0.2065582787283889
ucdpa_nocal,Noise,68.4704,8.251915467587544,3.4169298267364967,0.892246461710033,0.7038586785010971,0.21346833307889113
ucdpa_nocb,Noise,68.4857,8.292293702747845,3.4411417275935876,0.952762928715632,0.6882383560269013,0.20616616156340445
ucdpa_noucb,Noise,68.3015,8.42794184465235,4.145213574488833,1.9083204826115514,0.6199134538034048,0.09405699850723477
source,Other,66.7766,7.466223033516136,2.95204951710999,1.1694934318637777,0.7951310107526045,0.11170629649416884
tent,Other,69.473,5.976683309270311,6.45195163177972,1.8215793891672756,0.32782735350768377,0.06997900751332589
eata,Other,69.17226666666667,6.143881548187668,6.489573670986916,1.854252974275923,0.3307409024996355,0.07150651829488709
sar,Other,68.62193333333333,6.410453176370354,6.481048602125918,1.8503628872732183,0.3418531713790183,0.07903526661607765
come,Other,72.79333333333334,5.487308701140224,7.355887053925389,1.7006903939614355,1.2005301807349853,0.0811493388042539
tentcome,Other,69.64813333333333,5.914311547852162,6.280049482649006,1.7580300556574677,0.3338052902870536,0.07268618364975513
ucdpa,Other,74.694,4.4834477189185415,2.6567452020845224,0.6164306443772163,0.5423180187081972,0.10950280754666673
ucdpa_nocal,Other,74.694,4.639036010973733,2.6502936933754015,0.6286446444482521,0.5456854222006714,0.11401517769909911
ucdpa_nocb,Other,74.65740000000001,4.706100348365819,2.6721030539464206,0.6792508638096368,0.5356223716645017,0.11182242030800872
ucdpa_noucb,Other,74.6294,4.878615837395767,2.822844034635554,0.8192492142674742,0.5489577901652846,0.06816970254079013
source,Weather,55.2804,18.29425787767613,6.955484976714058,4.350704442304327,1.071270514859216,0.22989677007992268
tent,Weather,59.05433333333334,17.83861468804965,12.587084320934366,12.637792298754842,0.43395008223157067,0.12079132754529594
eata,Weather,59.62456666666667,16.73843620297021,10.782320158376312,9.800204244846677,0.4595724056460376,0.13512173662752278
sar,Weather,59.254400000000004,16.227500762280997,9.466108396478836,6.902701744792992,0.49366147918829206,0.15765060786589893
come,Weather,63.67353333333333,14.969693964996408,8.61643558886568,4.827206935887042,1.4624129046320857,0.16635421334074
tentcome,Weather,59.2214,17.763396450690585,12.385836756581908,12.549506647200895,0.4403197681383961,0.12319222234590688
ucdpa,Weather,68.32713333333332,10.519222187954199,3.6188088528450653,1.6953267290628244,0.7395834460788039,0.25178477989377585
ucdpa_nocal,Weather,68.3408,10.707836823167362,3.5748889836349065,1.6753591781794601,0.7461447858115331,0.2606227068710907
ucdpa_nocb,Weather,66.4102,15.603890970895018,6.568162316202023,12.629307524420486,0.6995562595669664,0.2238612173501187
ucdpa_noucb,Weather,67.8742,11.351495814255172,4.883299152505398,3.4970828257746405,0.6460549959406482,0.10489712734214299
