config_id,severity,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mce_15bins_percent_mean,mce_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std,hce_rate@0.9_mean,hce_rate@0.9_std,auroc_combined_mean,auroc_combined_std
tent,2,68.48933333333333,7.417891809993045,5.939926992814596,2.9076097337904314,11.22745623765107,4.554019663401446,0.4147486309836043,0.08497426918386988,0.027345964912280703,0.004709989331065078,0.848044726798509,0.006055824149649276
eata,2,68.11624561403508,7.486166280644162,5.998552288360714,2.794282168833467,11.46740576778357,4.522685167680562,0.4153838916235828,0.08375848410107124,0.027670877192982456,0.004327935948455665,0.8486357764582625,0.00551459908521917
sar,2,67.39856140350877,7.760330881701098,6.033784896392179,2.778060410730094,11.53526698727748,4.35464954552956,0.425381418232304,0.0865319887472001,0.027412631578947366,0.0042026838900516,0.8488290264110138,0.005402793311103739
come,2,71.43666666666667,6.494789486672412,7.783779281257244,2.531510943829275,12.327282960729638,2.1611858210729387,1.2878086995241482,0.1025735897492655,0.001863859649122807,0.0005364225226507716,0.8505511812302907,0.0052334055692656745
tentcome,2,68.63449122807017,7.384755758420778,5.807519950736314,2.8820910137128766,11.084025742727997,4.541305456500937,0.41996764350906046,0.0846203117978926,0.02694140350877193,0.004658193794117941,0.8483466826614824,0.005976747426535131
ucdpa,2,73.54884210526315,5.112498465907816,2.9578745647133817,0.9532640614844997,6.4916368946286385,1.330228944635806,0.5868537059115447,0.10807135914927463,0.016724561403508774,0.0025638113858189996,0.8568683266228551,0.0034783630964954513
ucdpa_nocal,2,73.55778947368421,5.21385031088614,2.953654709754144,0.9669729172745197,6.496222623792919,1.2809214337243249,0.5907026739502323,0.11158612073398362,0.016569473684210526,0.0026601868641219144,0.8569159600584166,0.0035491307451934982
ucdpa_nocb,2,73.56021052631579,5.241369748653996,2.959665929467074,0.9853116286268712,6.680659583443119,1.4232803187472236,0.5786018786983048,0.10783724851159145,0.016953684210526315,0.0025083686830871576,0.8568560306127878,0.0036782065292094803
ucdpa_noucb,2,73.42021052631578,5.469171535666963,3.221819887308649,1.271269289218844,7.040629495821975,2.388746809574897,0.5789927393248788,0.05389832595128367,0.01688,0.0010054739070596403,0.8567770345291756,0.0038173545769577405
source,3,59.407999999999994,12.11086248550685,4.497828074742402,3.7176799956080617,8.288969649119927,5.104907062775922,1.0616998833610343,0.21383048649572034,0.006533684210526316,0.003322488649652196,0.8410298339497271,0.010313556783100768
tent,3,65.1459298245614,9.066094859143462,6.750835622389099,3.937578200165092,12.504006665896034,5.399293336929572,0.4629032536948049,0.11521127096068089,0.027209122807017545,0.007443809575916506,0.8440484469010674,0.011580806469182962
eata,3,64.72091228070175,9.07457268628096,6.688286691836245,3.4712880236866814,12.602849365494164,5.133476345612361,0.46749555719612096,0.11928974267683262,0.026638947368421054,0.005136295804027077,0.8459536680386156,0.007448775538746801
sar,3,63.77775438596491,9.492556565693048,6.729837297684889,3.353495834463332,12.41704315921071,5.301665600561006,0.4823693403065614,0.12530569258305863,0.026149122807017543,0.004620686513890454,0.846524511861122,0.006915226436508535
come,3,68.10308771929824,8.22269484041555,7.2278263352731775,2.6688979167134894,11.730601818625253,2.733793467133936,1.3387443194043924,0.12198044058278243,0.0018049122807017545,0.0007017761212172847,0.8475426788518773,0.007802907011685233
tentcome,3,65.35168421052632,8.987388336596007,6.539100559393238,3.8323082473084495,12.214599507527408,5.375171507774112,0.47026682258083885,0.11669075245863782,0.026493684210526315,0.007044796618675108,0.8443882394904199,0.01101520895124029
ucdpa,3,70.81968421052632,6.502050333652716,3.277500841162045,1.1259945038255963,7.187066510020909,1.6913831007117917,0.6525136409046256,0.14554877127671495,0.015374736842105264,0.0032420772140179105,0.8536752235211954,0.005706578169574278
ucdpa_nocal,3,70.84894736842107,6.633468821678985,3.256177439087806,1.1301597963732997,7.276942100440489,1.8811003048873252,0.6571437171227483,0.15031014516574637,0.015176842105263159,0.003329339361614451,0.8536385174848099,0.005794477640167245
ucdpa_nocb,3,70.79873684210526,6.700536104937218,3.26656267213145,1.1841374899513657,7.340841007843269,1.704567614150302,0.6438431834069962,0.14576136058430442,0.015686315789473687,0.003122221805997766,0.8533178687798785,0.00638634403157543
ucdpa_noucb,3,70.60768421052632,6.949271337122981,3.7614287956882224,1.806336296049491,8.34972924360071,3.5008458718922553,0.6121256774209337,0.07126139408817335,0.01680421052631579,0.0013695186331517018,0.8531654841723866,0.0064436063001594825
source,4,51.40757894736842,12.887222502135554,5.364107987247163,4.658313854738991,9.314970889943096,7.056754721032356,1.1887172239576647,0.28755983085491066,0.005913684210526316,0.0043661279967736315,0.8348481293392311,0.013315639700546077
tent,4,59.12466666666666,10.678773507245465,8.737552318619205,6.50795434899134,15.062316577841369,9.299519986741624,0.5363826879125971,0.13719540575227113,0.03182561403508772,0.026525555266676583,0.8312768868672678,0.03517906675313122
eata,4,58.98245614035088,10.102824060751836,7.863659792889596,4.4861402591571045,14.098097312551932,6.811504969575572,0.5569687081049612,0.14696203542600778,0.02477578947368421,0.007945887289159724,0.8405974924090226,0.012543103472344245
sar,4,57.64073684210526,10.532191805748827,7.910762410774974,4.201772963330933,14.233310392168553,6.6978892822563685,0.5781648806821018,0.15492125405261753,0.023976140350877195,0.006158832726367752,0.8417516593513157,0.01009299996079558
come,4,62.24873684210526,9.284407132634334,6.045484480927208,2.7775986916721487,10.580410836461207,3.292151948531558,1.4144547375518264,0.15112291613153628,0.0016501754385964914,0.0008734179396160281,0.842235734381948,0.009817891491188911
tentcome,4,59.32056140350877,10.6105172268865,8.510321284106066,6.289007328506077,14.670593102018325,8.752239874587245,0.5441537212019436,0.1368380478199881,0.030512631578947368,0.02427624048076018,0.8324541855695474,0.03313871436419859
ucdpa,4,65.86435087719298,7.493697467327433,3.9514850074349446,1.3121554968862414,7.963853895068517,2.13786771521596,0.7686588067352997,0.1712797270026999,0.012773684210526316,0.0036754769523243747,0.8489943458876174,0.007137203806533557
ucdpa_nocal,4,65.87178947368422,7.632466585281498,3.928645181317692,1.3059331343274498,7.789002269220725,2.242610139667948,0.7746420871154293,0.1774006860886589,0.012538947368421052,0.003824241238812162,0.8491087490112051,0.007323796743431955
ucdpa_nocb,4,65.69578947368421,7.908194481246422,4.071219453422794,1.5360079882468174,8.233562337386786,2.5360643054054925,0.7565482040072486,0.17180615098983443,0.01377263157894737,0.0034491365136883876,0.8470994639012829,0.010968945951878613
ucdpa_noucb,4,65.52031578947368,7.961492218119749,4.966057620273828,2.484845028530779,10.118234552563765,4.15033014516642,0.6634878138786707,0.08103634010095137,0.016665263157894735,0.0016735835417884073,0.8477780800214273,0.007694088085464655
source,5,40.15126315789473,12.664672634828287,6.844140104391417,5.396564461144211,12.658416933353008,8.814146896250366,1.3949489704954634,0.38861247099757235,0.005361052631578948,0.005144480288970794,0.8263591086384664,0.01647755256159012
tent,5,48.9661403508772,12.776513261559545,13.565356343853155,11.303576127241467,23.107189957443417,19.07447098602286,0.6205866040325017,0.16519191995799368,0.049362807017543864,0.08035119933664396,0.8033507468983557,0.08518630359798032
eata,5,49.18305263157895,11.853006948843122,11.864517536938232,8.966234369499075,20.987609050448224,15.86521870322695,0.6668163656274584,0.1856349620611033,0.037877192982456134,0.052529859323544544,0.8165932687584738,0.059632095618857905
sar,5,47.9960701754386,11.417590438597758,10.646341643630691,5.959345612106084,18.532166254251923,9.170221951087152,0.7187047867259881,0.19949756837635418,0.024093684210526316,0.013529721862780866,0.8294526358463788,0.02181563243203697
come,5,52.70326315789473,11.313722878696469,5.9941958449805615,4.9623388547908025,13.185249130419416,13.445403586718315,1.5358573347388724,0.19120067890170084,0.0028831578947368422,0.005920272423116169,0.8238512239617807,0.051351672963268986
tentcome,5,49.203508771929826,12.806029055993799,13.33985767841568,11.33624697767524,22.885722787998514,19.141977402941368,0.6278483575564233,0.16468269238744787,0.04884982456140351,0.08105156181828305,0.8037842054134509,0.08623013643717482
ucdpa,5,58.32119298245614,8.440974587093002,4.926575575497777,1.6106564079536831,9.303306539846139,2.626019031432033,0.9624954928891777,0.21449109497013796,0.009281754385964913,0.0041403748634664785,0.8415655719713908,0.009572324028090955
ucdpa_nocal,5,58.32073684210527,8.58999747019821,4.850585905143476,1.5955676940121872,9.173467126012364,2.5633147272542383,0.9724289277616448,0.2219399413524529,0.008978947368421053,0.00426321982483355,0.8416379995512875,0.00975910571584387
ucdpa_nocb,5,56.125368421052634,12.972668329181447,8.146169563551926,12.596873794439228,16.199836832988474,21.904845850143847,0.921523291868327,0.2166097952239629,0.03829473684210526,0.11495023480563815,0.807202094068793,0.12844598339089966
ucdpa_noucb,5,57.623684210526314,8.884627279449422,7.435894988750303,3.4125299861185785,13.668563246002078,5.171087196180962,0.7388650103823535,0.09472702895388667,0.016678947368421054,0.0019414825227039546,0.8396917307471125,0.010666742556882408
