backbone,base_method,top1_accuracy_mean,top1_accuracy_std,ece_15bins_percent_mean,ece_15bins_percent_std,mce_15bins_percent_mean,mce_15bins_percent_std,mean_mutual_info_mean,mean_mutual_info_std,mean_ucb_score_mean,mean_ucb_score_std,auroc_combined_mean,auroc_combined_std
vit_base_patch16_224,sar,63.776315789473685,9.692931565794808,6.738328256779349,3.431680845886947,12.411144297331422,5.35704588095857,0.4820889319824991,0.12762595323605816,0.0,0.0,0.8465181985343598,0.007081977409835448
vit_base_patch16_224,come,68.10336842105262,8.372757492211976,7.227095089560129,2.7181426615703326,11.729983881675365,2.785852248025854,1.338720729375637,0.12424223088455073,0.0,0.0,0.8475446259546404,0.007957921537562815
vit_base_patch16_224,tentcome,65.34852631578947,9.148933947420813,6.5397560358510205,3.896237230756791,12.257270166077102,5.498478388487667,0.4702351897926607,0.11880507697587755,0.0,0.0,0.8443893214920218,0.011186991398082274
vit_base_patch16_224,ucdpa,70.82863157894737,6.630283856924365,3.2699966754597427,1.1487746441310205,7.128934469760178,1.7191329340439354,0.6524232606038888,0.1483888373330861,0.5881243627570331,0.07441813860133918,0.8536182375790311,0.005786205026919786
vit_base_patch16_224,ucdpa_bs1,73.01147368421053,5.454386322222398,18.946585106138237,4.441713844284241,38.09893149307245,3.718221102925441,0.014684232611453902,0.0036811965677781984,0.840453447417274,0.017157100469815414,0.8266839141004632,0.03105518392926267
vit_base_patch16_224,ucdpa_bs32,73.56673684210527,4.922983386819479,7.13753845387266,1.6546403080261918,14.78675900056812,2.666872197359975,0.32167626516164344,0.07089349362828057,0.6906210506985387,0.046252518151805457,0.8479542466671752,0.007299333890836484
vit_base_patch16_224,ucdpa_bs64,72.46315789473684,5.629437758220994,4.2744225608082,1.3739686678009473,9.976046621373092,2.050620826017492,0.4894481296684671,0.1090584821583562,0.6391341397253599,0.05984029269732389,0.8518956912892558,0.005606338456605921
vit_base_patch16_224,ucdpa_bs8,74.29778947368422,4.536370497054854,13.15064744329575,2.5357979278119207,24.642847537012035,2.51642124371425,0.09510339646643043,0.025180083065063794,0.7791214907095533,0.028746643327468263,0.8371300100315978,0.009958643169587436
vit_base_patch16_224,ucdpa_nocal,70.84894736842107,6.633468821678985,3.256177439087806,1.1301597963732997,7.276942100440489,1.8811003048873252,0.6571437171227483,0.15031014516574637,0.5874659130403764,0.07482386730509455,0.8536385174848099,0.005794477640167245
vit_base_patch16_224,ucdpa_nocb,70.79873684210526,6.700536104937218,3.26656267213145,1.1841374899513657,7.340841007843269,1.704567614150302,0.6438431834069962,0.14576136058430442,0.5891043333148015,0.07424876344983758,0.8533178687798785,0.00638634403157543
vit_base_patch16_224,ucdpa_noscalenorm,71.723,6.228189506857781,3.525897804483539,0.7124374703978087,6.466040859166668,0.9417972067772898,0.9716025389294504,0.1764228124380802,0.5360787515497829,0.07881965315058982,0.854565219830599,0.0072720728936730835
vit_base_patch16_224,ucdpa_noucb,70.60768421052632,6.949271337122981,3.7614287956882224,1.806336296049491,8.34972924360071,3.5008458718922553,0.6121256774209337,0.07126139408817335,0.5,0.0,0.8531654841723866,0.0064436063001594825
vit_base_patch16_224,ucdpa_sens_Tc_0.05,69.7092,7.177380106974965,3.4116731967410074,1.4793017400848878,7.511327050079667,2.4299656294738043,0.6877986134245121,0.1255350662322907,0.6038992156165653,0.08374735736063872,0.8509526371257632,0.006014776386741849
vit_base_patch16_224,ucdpa_sens_Tc_0.1,69.84360000000001,7.147609446521264,3.436594311865233,1.4425058085695888,8.052741925268387,1.8728196679835407,0.6951806275577243,0.11750772534235164,0.5725590448133366,0.07368943240222575,0.8513287935988855,0.005686768020293088
vit_base_patch16_224,ucdpa_sens_Tc_0.2,69.8964,7.149178750038352,3.547214920341782,1.4506403380200317,8.360491406699708,1.9946182747493164,0.6879604423774961,0.09238425065316501,0.5338006918365042,0.04938726756029345,0.8516539353601038,0.005750653494721597
vit_base_patch16_224,ucdpa_sens_Tc_0.3,69.876,7.171346874890382,3.633073169558867,1.4849740514934775,8.228928808314597,2.353305259317051,0.6760018871780136,0.07606896028269501,0.5202552521242239,0.03499134728414184,0.8514003060787093,0.006052795022248688
vit_base_patch16_224,ucdpa_sens_Tc_0.5,69.7984,7.215260411100905,3.7545049586082806,1.6072343026091798,8.576668633938079,2.786135604122845,0.6623889156911303,0.061629836448766094,0.5108630238395333,0.02147780805681376,0.8513686102051929,0.006065354036142527
vit_base_patch16_224,ucdpa_sens_Tu_0.05,69.848,7.1384428273959095,3.42484661821099,1.4317863765857815,8.107269676773495,1.9888504007825842,0.6942715895682172,0.11716985534644128,0.5736718966992509,0.07370902896445537,0.851214646070187,0.005839485732367232
vit_base_patch16_224,ucdpa_sens_Tu_0.1,69.8408,7.149676160498459,3.4391053272485728,1.4438574101490835,7.978566703627214,1.812861619857211,0.6952324733350366,0.11740520044776134,0.5725644752791872,0.0736769271009781,0.8514152609765666,0.005674000859838911
vit_base_patch16_224,ucdpa_sens_Tu_0.2,69.888,7.1275756046498735,3.3649168575223527,1.3442011021268803,7.610642663478357,1.9154581184684503,0.715841884491472,0.12263049032998218,0.5476590415679441,0.0725222491091659,0.8516517062659108,0.00568074914585768
vit_base_patch16_224,ucdpa_sens_Tu_0.3,69.93199999999999,7.114945818486596,3.2706167112962334,1.1572835993853994,6.600502542613768,1.900006294155956,0.7551370568069783,0.13114643522909217,0.5029606219961411,0.06952522036538318,0.8520997652846176,0.005790946917069641
vit_base_patch16_224,ucdpa_sens_Tu_0.5,69.9404,7.1149224029500155,3.2086585611331286,0.779178453673554,6.17845260716585,1.6869314236202717,0.8328145622415585,0.14488023018584043,0.4278233420590089,0.06343805841289286,0.8527049918164206,0.006425176676392127
